ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;10
2024;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;3
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;M;11
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;8;Agriculture, forestry, fisheries and veterinary;F;1
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;F;7
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;3;Social sciences, journalism and information;F;26
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;1;Education;M;2
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;4;Business, administration and law;F;8
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;7;Engineering, manufacturing and construction;M;2
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);M;15
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;M;52
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;M;6
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;5;Natural sciences, mathematics and statistics;F;46
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;9;Health and welfare;F;15
2024;01509;Milano-Bicocca - Università degli studi;Lombardia;NORD-OVEST;Dottorato di ricerca;6;Information and Communication Technologies (ICTs);F;3
